"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1441","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__NA"
"ASV1442","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ethanoligenenaceae","g__Acetanaerobacterium","s__NA"
"ASV1443","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV1444","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__NA","s__NA"
"ASV1445","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV1446","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group","s__NA"
"ASV1447","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV1448","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__NA"
"ASV1449","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV1450","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group","s__NA"
"ASV1451","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea","s__NA"
"ASV1452","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Anaerotruncus","s__NA"
"ASV1453","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Paludicola","s__NA"
"ASV1454","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__GCA-900066755","s__NA"
"ASV1455","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","s__NA"
"ASV1456","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__NA"
"ASV1457","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Hungatella","s__NA"
"ASV1458","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__NA","s__NA"
"ASV1459","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__NA"
"ASV1460","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1461","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum","s__NA"
"ASV1462","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV1463","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__NA","s__NA"
"ASV1464","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1465","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Dielma","s__NA"
"ASV1466","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1467","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__NA","s__NA"
"ASV1468","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Parvibacter","s__NA"
"ASV1469","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__NA"
"ASV1470","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Paludicola","s__NA"
"ASV1471","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter","s__secundus"
"ASV1472","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","s__mucilaginosa"
"ASV1473","k__Bacteria","p__Firmicutes","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__equorum"
"ASV1474","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis","s__NA"
"ASV1475","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__sanguinis"
"ASV1476","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Eisenbergiella","s__NA"
"ASV1477","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Hungatella","s__NA"
"ASV1478","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__velezensis"
"ASV1479","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__NA","g__NA","s__NA"
"ASV1480","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__NA"
"ASV1481","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__NA","g__NA","s__NA"
"ASV1482","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea","s__NA"
"ASV1483","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Catenibacillus","s__scindens"
"ASV1484","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Chloroplast","f__NA","g__NA","s__NA"
"ASV1485","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Paludicola","s__NA"
"ASV1486","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV1487","k__Bacteria","p__Synergistota","c__Synergistia","o__Synergistales","f__Synergistaceae","g__Cloacibacillus","s__NA"
"ASV1488","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV1489","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-007","s__NA"
"ASV1490","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Anaerofilum","s__NA"
"ASV1491","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Hydrogenoanaerobacterium","g__NA","s__NA"
"ASV1492","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia-Shigella","s__marmotae"
"ASV1493","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__NA"
"ASV1494","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospira","s__NA"
"ASV1495","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__NA","g__NA","s__NA"
"ASV1496","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__mutans"
"ASV1497","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__NA"
"ASV1498","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__NA"
"ASV1499","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV1500","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Anaerotruncus","s__NA"
"ASV1501","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__NA"
"ASV1502","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Catabacter","s__NA"
"ASV1503","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__NA","g__NA","s__NA"
"ASV1504","k__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__NA","g__NA","s__NA"
"ASV1505","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Anaerofustaceae","g__Anaerofustis","s__NA"
"ASV1506","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ethanoligenenaceae","g__Acetanaerobacterium","s__NA"
"ASV1507","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV1508","k__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__NA"
"ASV1509","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV1510","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Anaerofilum","s__NA"
"ASV1511","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemania","s__NA"
"ASV1512","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Solobacterium","s__moorei"
"ASV1513","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","s__somerae"
"ASV1514","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1515","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__NA"
"ASV1516","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Colidextribacter","s__NA"
"ASV1517","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV1518","k__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__NA"
"ASV1519","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__NA","s__NA"
"ASV1520","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Chloroplast","f__NA","g__NA","s__NA"
"ASV1523","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV1524","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea","s__NA"
"ASV1525","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_ND3007_group","s__NA"
"ASV1526","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_nodatum_group","s__NA"
"ASV1527","k__Bacteria","p__Firmicutes","c__Clostridia","o__Hungateiclostridiaceae","f__NA","g__NA","s__NA"
"ASV1528","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV1529","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group","s__NA"
"ASV1530","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-007","s__NA"
"ASV1531","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas","s__NA"
"ASV1532","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Atopobium","s__NA"
"ASV1533","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV1534","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillospira","s__NA"
"ASV1535","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__NA","g__NA","s__NA"
"ASV1536","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV1537","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-009","s__NA"
"ASV1538","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV1539","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV1540","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ethanoligenenaceae","g__Acetanaerobacterium","s__NA"
"ASV1541","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__NA","g__NA","s__NA"
"ASV1542","k__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__NA"
"ASV1543","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV1544","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Clostridium]_methylpentosum_group","g__NA","s__NA"
"ASV1545","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__NA","g__NA","s__NA"
"ASV1546","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group","s__NA"
"ASV1547","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__NA"
"ASV1548","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Anaerotruncus","s__NA"
"ASV1549","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV1550","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__NA"
"ASV1551","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Erysipelatoclostridium","s__NA"
"ASV1552","k__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__Saccharimonadaceae","g__TM7x","s__NA"
"ASV1553","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__corporis"
"ASV1554","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","s__NA"
"ASV1555","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Eisenbergiella","s__NA"
"ASV1556","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1557","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Pediococcus","s__acidilactici"
"ASV1558","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Arcanobacterium","s__NA"
"ASV1559","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Selenomonadaceae","g__Mitsuokella","s__jalaludinii"
"ASV1560","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillibacter","s__NA"
"ASV1561","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV1562","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium_sensu_stricto_3","s__NA"
"ASV1563","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__UCG-009","s__NA"
"ASV1564","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Fenollaria","g__NA","s__NA"
"ASV1565","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","s__bennonis"
"ASV1566","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV1567","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__NA","g__NA","s__NA"
"ASV1568","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__NA","g__NA","s__NA"
"ASV1569","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","s__mycetoides"
"ASV1570","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__bivia"
"ASV1571","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__corporis"
"ASV1572","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea","s__NA"
"ASV1573","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Erysipelatoclostridium","s__NA"
"ASV1574","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV1575","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV1576","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-002","s__NA"
"ASV1577","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV1578","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__parabrevis"
"ASV1579","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia","s__dentocariosa"
"ASV1580","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella","s__NA"
"ASV1581","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Chloroplast","f__NA","g__NA","s__NA"
"ASV1582","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__graevenitzii"
"ASV1583","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__NA"
"ASV1584","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillospira","s__NA"
"ASV1585","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Actinomyces","s__NA"
"ASV1586","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Dielma","s__fastidiosa"
"ASV1587","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lactonifactor","s__NA"
"ASV1588","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__NA","g__NA","s__NA"
"ASV1589","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Hydrogenoanaerobacterium","g__NA","s__NA"
"ASV1590","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter","s__NA"
"ASV1591","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__NA","g__NA","s__NA"
"ASV1592","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Flavonifractor","s__NA"
"ASV1593","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__[Eubacterium]_siraeum_group","s__siraeum"
"ASV1594","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Erysipelatoclostridium","s__NA"
"ASV1595","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV1596","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV1597","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__NA","g__NA","s__NA"
"ASV1598","k__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__NA","s__NA"
"ASV1599","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__salivae"
"ASV1600","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Coprobacillus","s__cateniformis"
"ASV1601","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV1602","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV1603","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__NA","g__NA","s__NA"
"ASV1604","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea","s__NA"
"ASV1606","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NA","s__NA"
"ASV1607","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__NA","g__NA","s__NA"
"ASV1608","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1609","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Clostridium]_methylpentosum_group","g__NA","s__NA"
"ASV1610","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__NA"
"ASV1611","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV1612","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Anaerotruncus","s__NA"
"ASV1613","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__NA","g__NA","s__NA"
"ASV1614","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter","s__splanchnicus"
"ASV1615","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__inops"
"ASV1616","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter","s__splanchnicus"
"ASV1617","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter","s__splanchnicus"
"ASV1618","k__Bacteria","p__Firmicutes","c__Bacilli","o__RF39","f__NA","g__NA","s__NA"
"ASV1619","k__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella","s__NA"
"ASV1620","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__F0332","s__NA"
"ASV1621","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Veillonella","s__dispar"
"ASV1622","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__UCG-010","g__NA","s__NA"
"ASV1623","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Subdoligranulum","s__NA"
"ASV1624","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__NA"
"ASV1625","k__Bacteria","p__Firmicutes","c__Clostridia","o__NA","f__NA","g__NA","s__NA"
"ASV1626","k__Bacteria","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium","s__faecium"
"ASV1627","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Brevibacteriaceae","g__Brevibacterium","s__aurantiacum"
"ASV1628","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-010","s__NA"
"ASV1629","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptoniphilus","g__NA","s__NA"
"ASV1630","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1631","k__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella","s__biformis"
"ASV1632","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_FCS020_group","s__NA"
"ASV1633","k__Bacteria","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__NA"
"ASV1634","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae","g__Leuconostoc","s__mesenteroides"
"ASV1635","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostignum","s__NA"
"ASV1636","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__NA","s__NA"
"ASV1637","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1638","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__NA","s__NA"
"ASV1639","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Leuconostocaceae","g__Weissella","s__cibaria"
"ASV1640","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__S5-A14a","s__NA"
"ASV1641","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__yamanorum"
"ASV1642","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__bromii"
"ASV1643","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Incertae_Sedis","s__NA"
"ASV1644","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Mitochondria","g__NA","s__NA"
